amfi_code,Sharpe_Ratio,Alpha,Beta,Max_Drawdown,Score
120505,1.1801011976606492,0.2926358334175106,0.000549004250631712,-0.18188513572116294,47.75
148569,1.2349300257743294,0.2827036785246582,0.018133884083859245,-0.1639674294693263,47.5
149324,0.9497958246616031,0.3005787817097677,0.011455159960520708,-0.31171900300634214,46.25
119598,0.9453082575156095,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,45.875
120843,1.3067439695428409,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,45.625
148567,1.4482911703262598,0.2698375144191807,0.023683558075848623,-0.11265729075028275,44.0
149323,1.1321218524747243,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,43.875
100033,1.093698743534631,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,43.75
119551,1.2082665673727175,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,42.875
119094,0.9982309868636413,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,41.75
118632,1.0816591793457042,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,41.375
101206,1.0272133278753695,0.21399784776051212,0.02108631625012803,-0.11291596329323073,36.75
120504,1.0265242847993001,0.2119482701352573,0.016232169761417007,-0.12588275606922517,36.375
148568,0.9262873467360144,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,34.5
119552,0.9532794968660104,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,33.875
125497,0.7757902498211205,0.17729754927531766,0.04882040425957739,-0.15200013055606398,31.375
120503,0.7979728586052847,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,30.5
120506,0.6488787755249532,0.1625385327998104,0.04189646272811977,-0.1982565826298267,30.375
102887,0.6195175900829828,0.16211256794033255,0.016682689437770827,-0.21539827112383225,29.375
118634,0.44843400890899127,0.1750072167561127,0.1034966369133759,-0.2334488614483311,28.875
118633,0.6452074382933215,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,28.5
102885,0.8170993373494367,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,28.375
118635,0.664856998549062,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,25.25
101207,0.16266076928646772,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,24.625
120841,0.4942725378672349,0.13042924450705445,0.036356399022199795,-0.1757361416468729,24.625
125498,0.30061192104254786,0.11989100971217971,0.009054412621739154,-0.21117279560132118,23.5
149322,0.46403744922047774,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,22.5
119093,0.12961449795669328,0.08232801295222093,0.02588321244009315,-0.21751396370148224,21.75
120842,0.07599984804658923,0.0780443887615508,0.01805687420811816,-0.24003511326274884,21.125
119599,-0.05718662582817995,0.048824215945539845,0.06200180438267168,-0.5257422117012851,18.125
119095,-0.0759735711747892,0.048015953637759554,-0.066951174639292,-0.5167775370852656,16.75
120507,0.4957233929533123,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,16.5
119092,0.03078485095458594,0.0689952982167755,0.009730745001153637,-0.1440161790933726,15.5
100016,-0.20151706755966936,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,13.25
102886,-0.20583160785470309,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,12.375
120844,-0.08874729621557288,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,9.375
119120,-0.22657538662791576,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,7.25
118636,-0.35662950751436784,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,6.375
101208,-0.8155673679088263,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,5.375
100025,-0.5670947928476846,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,3.75
